지역명,전체,1층,1층외
종로구,169274.0,205895.0,137462
중구,245055.0,254274.0,240558
용산구,117720.0,137826.0,95454
성동구,103535.0,122344.0,84865
광진구,99247.0,118023.0,73859
동대문구,93251.0,116355.0,59134
중랑구,81028.0,97761.0,56926
성북구,92023.0,112998.0,62448
강북구,86808.0,99676.0,64819
도봉구,79696.0,97728.0,52475
노원구,103275.0,134345.0,69860
은평구,95701.0,111518.0,70074
서대문구,106143.0,129624.0,74953
마포구,123118.0,150690.0,103149
양천구,97109.0,119081.0,72320
강서구,100968.0,130888.0,72739
구로구,108939.0,125230.0,92648
금천구,104134.0,121063.0,89683
영등포구,107455.0,125517.0,88168
동작구,115375.0,140186.0,79710
관악구,105102.0,126384.0,74558
서초구,119955.0,139348.0,107097
강남구,136661.0,172407.0,116285
송파구,124972.0,149655.0,103601
강동구,106808.0,126850.0,78673
