구,카테고리,임대시세,점포수,인구수,리뷰,역세권,직장인구
종로구,음식점,169274,3685,153600,382512,0,0
중구,음식점,245055,3620,125000,111089,0,0
용산구,음식점,117720,2564,233200,53525,0,0
성동구,음식점,103535,2204,309400,56898,0,0
광진구,음식점,99247,2596,336600,14816,0,0
동대문구,음식점,93251,2773,329000,123833,0,0
중랑구,음식점,81028,2377,390600,46994,0,0
성북구,음식점,92023,2278,427500,43076,0,0
강북구,음식점,86808,2102,465500,63476,0,0
도봉구,음식점,79696,1602,336000,38054,0,0
노원구,음식점,103275,2210,525000,55568,0,0
은평구,음식점,95701,2359,459000,54018,0,0
서대문구,음식점,106143,2139,320400,289744,0,0
마포구,음식점,123118,4459,304800,79721,0,0
양천구,음식점,97109,1923,435200,154866,0,0
강서구,음식점,100968,3254,561700,77889,0,0
구로구,음식점,108939,2705,396000,67045,0,0
금천구,음식점,104134,1895,239200,190101,0,0
영등포구,음식점,107455,3983,422500,58449,0,0
동작구,음식점,115375,2099,363200,105452,0,0
관악구,음식점,105102,2923,504000,124287,0,0
서초구,음식점,119955,4016,418300,93167,0,0
강남구,음식점,136661,7186,568000,189348,0,0
송파구,음식점,124972,4234,683400,439165,0,0
강동구,음식점,106808,2706,410000,62963,0,0
종로구,카페,169274,1283,153600,0,,0
중구,카페,245055,1189,125000,0,,0
용산구,카페,117720,828,233200,0,,0
성동구,카페,103535,685,309400,0,,0
광진구,카페,99247,758,336600,0,,0
동대문구,카페,93251,619,329000,0,,0
중랑구,카페,81028,463,390600,0,,0
성북구,카페,92023,682,427500,0,,0
강북구,카페,86808,454,465500,0,,0
도봉구,카페,79696,341,336000,0,,0
노원구,카페,103275,651,525000,0,,0
은평구,카페,95701,617,459000,0,,0
서대문구,카페,106143,679,320400,0,,0
마포구,카페,123118,1837,304800,0,,0
양천구,카페,97109,540,435200,0,,0
강서구,카페,100968,887,561700,0,,0
구로구,카페,108939,558,396000,0,,0
금천구,카페,104134,485,239200,0,,0
영등포구,카페,107455,1108,422500,0,,0
동작구,카페,115375,634,363200,0,,0
관악구,카페,105102,714,504000,0,,0
서초구,카페,119955,1391,418300,0,,0
강남구,카페,136661,2430,568000,0,,0
송파구,카페,124972,1342,683400,0,,0
강동구,카페,106808,727,410000,0,,0
종로구,술집,169274,630,153600,0,0,237600
중구,술집,245055,500,125000,0,0,336000
용산구,술집,117720,486,233200,0,0,182600
성동구,술집,103535,331,309400,0,0,83300
광진구,술집,99247,659,336600,0,0,78200
동대문구,술집,93251,538,329000,0,0,77000
중랑구,술집,81028,603,390600,0,0,39600
성북구,술집,92023,538,427500,0,0,112500
강북구,술집,86808,606,465500,0,0,42000
도봉구,술집,79696,344,336000,0,0,35700
노원구,술집,103275,447,525000,0,0,56000
은평구,술집,95701,547,459000,0,0,48000
서대문구,술집,106143,537,320400,0,0,68400
마포구,술집,123118,1012,304800,0,0,139200
양천구,술집,97109,506,435200,0,0,132600
강서구,술집,100968,779,561700,0,0,143500
구로구,술집,108939,662,396000,0,0,140000
금천구,술집,104134,450,239200,0,0,130000
영등포구,술집,107455,788,422500,0,0,462500
동작구,술집,115375,478,363200,0,0,70400
관악구,술집,105102,765,504000,0,0,75000
서초구,술집,119955,545,418300,0,0,568700
강남구,술집,136661,770,568000,0,0,1172000
송파구,술집,124972,761,683400,0,0,404600
강동구,술집,106808,639,410000,0,0,72500
