지역명,2018년 전체,2018년 1층,2018년 1층 외,2019년,2019년 1층,2019년 1층 외,2020년,2020년 1층,2020년 1층 외
종로구,180684 ,217322 ,149336 ,190358 ,225458 ,158852 ,169274 ,205895 ,137462 
청운효자동,130682 ,150242 ,67488 ,130149 ,154347 ,91222 ,134432 ,152656 ,99025 
사직동,134027 ,148092 ,126437 ,135504 ,190743 ,111830 ,133929 ,202244 ,105045 
삼청동,199095 ,242647 ,111991 ,182134 ,161827 ,227825 ,165197 ,187342 ,76618 
부암동,76845 ,98860 ,56298 ,79183 ,92219 ,57456 ,103738 ,106926 ,98956 
평창동,82130 ,101445 ,72114 ,92775 ,105654 ,78726 ,82123 ,80023 ,85232 
무악동,,137324 ,,,,,123569 ,162791 ,52969 
교남동,156623 ,178599 ,112671 ,,250954 ,,190497 ,216085 ,161253 
가회동,128061 ,142965 ,83348 ,169897 ,168299 ,175605 ,133177 ,148279 ,105489 
종로1.2.3.4가동,193149 ,264091 ,113695 ,211372 ,277069 ,131759 ,185145 ,247572 ,119499 
종로5.6가동,260034 ,251976 ,263131 ,270813 ,289438 ,263819 ,241732 ,247907 ,239084 
이화동,131636 ,175324 ,98493 ,123400 ,155608 ,87971 ,118062 ,158706 ,79266 
혜화동,132970 ,176794 ,89146 ,119058 ,138053 ,83601 ,133034 ,170856 ,79802 
창신1동,144913 ,203788 ,108428 ,164145 ,220766 ,128528 ,164850 ,200240 ,133663 
창신2동,71607 ,84579 ,38587 ,79907 ,91722 ,64153 ,74553 ,88697 ,57082 
창신3동,97645 ,72024 ,118608 ,,,122958 ,79112 ,94243 ,62900 
숭인1동,97595 ,177290 ,57748 ,87115 ,102738 ,74332 ,75743 ,101361 ,56866 
숭인2동,113083 ,158712 ,65512 ,97951 ,127872 ,67317 ,78757 ,112749 ,53536 
중구,216687 ,221363 ,213835 ,216936 ,223798 ,213495 ,245055 ,254274 ,240558 
소공동,130381 ,166086 ,110365 ,157654 ,228362 ,125994 ,137251 ,201893 ,117825 
회현동,310714 ,364920 ,271724 ,312075 ,368841 ,282793 ,332597 ,384214 ,300815 
명동,159270 ,232003 ,136247 ,166629 ,218888 ,147287 ,158528 ,255052 ,127780 
필동,82594 ,127868 ,58585 ,105340 ,172988 ,76069 ,112759 ,150026 ,89440 
장충동,88287 ,81006 ,94710 ,87504 ,99475 ,81058 ,92818 ,116489 ,66363 
광희동,174151 ,184355 ,168611 ,188297 ,199558 ,181896 ,193959 ,203200 ,188798 
을지로동,138032 ,195638 ,75312 ,122247 ,172055 ,79194 ,136699 ,187197 ,98432 
신당동,400605 ,327885 ,416697 ,370336 ,323139 ,378185 ,393106 ,366588 ,398637 
다산동,95281 ,123682 ,62146 ,101842 ,117668 ,85490 ,96858 ,117856 ,81109 
약수동,114826 ,152945 ,76707 ,104077 ,168404 ,65958 ,123860 ,189879 ,79398 
청구동,89064 ,119407 ,65617 ,95224 ,91778 ,96193 ,95196 ,102825 ,91208 
신당5동,110917 ,133818 ,87379 ,107926 ,129278 ,93690 ,114457 ,125206 ,104576 
동화동,90285 ,125717 ,61105 ,97152 ,120237 ,82723 ,93384 ,111775 ,84673 
황학동,134332 ,151890 ,86819 ,131161 ,149781 ,92543 ,131052 ,139061 ,115179 
중림동,130674 ,156831 ,90433 ,102843 ,128045 ,78736 ,130325 ,137759 ,120349 
용산구,114946 ,133676 ,98474 ,112058 ,134694 ,88814 ,117720 ,137826 ,95454 
후암동,93931 ,116362 ,54972 ,86662 ,110235 ,47374 ,91668 ,107963 ,65509 
용산2가동,74039 ,80608 ,63090 ,102064 ,115062 ,46824 ,92668 ,92682 ,92613 
남영동,95169 ,108761 ,70575 ,84697 ,108157 ,55371 ,96281 ,115490 ,68153 
청파동,88266 ,105419 ,63367 ,103630 ,138360 ,62502 ,104103 ,128553 ,70824 
원효로1동,83941 ,112378 ,57400 ,83129 ,102015 ,59092 ,87561 ,101576 ,71154 
원효로2동,83107 ,93430 ,77258 ,94142 ,101901 ,88108 ,95515 ,113063 ,79815 
효창동,91856 ,115778 ,67933 ,90668 ,106897 ,65164 ,143717 ,142288 ,145146 
용문동,99026 ,122467 ,33391 ,121964 ,133350 ,61243 ,92074 ,105008 ,56968 
한강로동,113523 ,139327 ,102994 ,114251 ,144273 ,99900 ,116052 ,143458 ,102026 
이촌1동,236383 ,242905 ,230839 ,181120 ,327333 ,95113 ,217531 ,299053 ,120992 
이촌2동,97884 ,97564 ,98311 ,,81824 ,,89426 ,67472 ,167833 
이태원1동,189500 ,218596 ,161790 ,173009 ,204168 ,133838 ,175170 ,203671 ,135812 
이태원2동,161590 ,218545 ,97515 ,131891 ,148731 ,112946 ,122236 ,133423 ,106983 
한남동,120638 ,132154 ,112795 ,121458 ,145054 ,102231 ,114975 ,133187 ,96764 
서빙고동,67670 ,81226 ,51102 ,,127605 ,,67401 ,66106 ,68756 
보광동,78844 ,90437 ,58387 ,81358 ,85741 ,74637 ,95728 ,115958 ,58880 
