No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
1,1,서울,1,중구,봉래동,서울특별시 중구 봉래동2가 122 서울역(1호선),6110-1331,126.9695628,37.55815631,정좌표
2,2,시청,1,중구,정동,서울특별시 중구 정동 5-5 시청역(1호선),6110-1321,126.9769191,37.56559743,정좌표
3,3,종각,1,종로구,종로1가,서울특별시 종로구 종로1가 54 종각지하철역사,6110-1311,126.9813903,37.5702223,정좌표
5,5,종로5가,1,종로구,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,6110-1291,127.0019249,37.57102026,정좌표
6,6,동대문,1,종로구,창신동,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),6110-1281,127.0112331,37.57175937,정좌표
7,7,신설동,1,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),6110-1261,127.0259353,37.57644921,정좌표
8,8,제기동,1,동대문구,제기동,서울특별시 동대문구 제기동 65 제기동역,6110-1251,127.0388429,37.57855477,정좌표
9,9,청량리(서울시립대입구),1,동대문구,전농동,서울특별시 동대문구 전농동 620-69 청량리역,6110-1241,127.046001,37.57980887,정좌표
10,10,동묘앞,1,종로구,숭인동,서울특별시 종로구 숭인동 117 동묘앞역(1호선),6110-1271,127.017115,37.57358905,정좌표
11,11,시청,2,중구,서소문동,서울특별시 중구 서소문동 90-1 시청역(2호선),6110-2011,126.975502,37.56355912,정좌표
12,12,을지로입구,2,중구,을지로1가,서울특별시 중구 을지로1가 100-1 을지로입구역,6110-2021,126.9820588,37.56604873,정좌표
13,13,을지로3가,2,중구,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),6110-2031,126.9902027,37.56619938,정좌표
14,14,을지로4가,2,중구,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),6110-2041,126.9965174,37.56651881,정좌표
15,15,동대문역사문화공원,2,중구,을지로7가,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),6110-2051,127.0085363,37.56576487,정좌표
16,16,신당,2,중구,신당동,서울특별시 중구 신당동 99 신당역(2호선),6110-2061,127.0200411,37.56542262,정좌표
17,17,상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,6110-2071,127.0297877,37.56397139,정좌표
